Session Number,Metric,Value
1.0,Pronation Supination Metric,60.161477622336086
2.0,Pronation Supination Metric,55.40021558286285
3.0,Pronation Supination Metric,58.832498409564856
1.0,Palm Roll Range Mean,0.565955274566474
2.0,Palm Roll Range Mean,1.9500034125475285
3.0,Palm Roll Range Mean,2.5932603340292277
1.0,Palm Roll Std,89.95923879622089
2.0,Palm Roll Std,82.1253216680205
3.0,Palm Roll Std,86.95211744733267
1.0,Hand Roll Std,89.95923879622089
2.0,Hand Roll Std,82.1253216680205
3.0,Hand Roll Std,86.95211744733267
